Ephemeris time,Sol,x1,y1,z1,vx1,vy1,vz1,ang,x2,y2,z2,vx2,vy2,vz2,ang1,px,py,pz,ang3,hga,sol and time
515678507.2,1331,-33195966.33,-70755009.53,-31113065.4,-0.352,8.013,2.642,280.596,33197669.06,70758636.51,31114659.95,0.35,-8.017,-2.643,280.61,33197669.06,70758636.51,31114659.95,280.61,89.57, 1/01331:19:27:45:06228
515678508.2,1331,-33195966.68,-70755001.51,-31113062.75,-0.352,8.013,2.642,280.596,33197669.41,70758628.49,31114657.31,0.35,-8.017,-2.643,280.61,33197669.41,70758628.49,31114657.31,280.61,89.573, 1/01331:19:27:46:03552
515678509.2,1331,-33195967.03,-70754993.5,-31113060.11,-0.352,8.013,2.642,280.596,33197669.76,70758620.47,31114654.67,0.35,-8.017,-2.643,280.61,33197669.76,70758620.47,31114654.67,280.61,89.576, 1/01331:19:27:47:00877
515678510.2,1331,-33195967.38,-70754985.49,-31113057.47,-0.352,8.013,2.642,280.596,33197670.11,70758612.46,31114652.02,0.35,-8.017,-2.643,280.61,33197670.11,70758612.46,31114652.02,280.61,89.579, 1/01331:19:27:47:98201
515678511.2,1331,-33195967.74,-70754977.47,-31113054.83,-0.352,8.013,2.642,280.596,33197670.46,70758604.44,31114649.38,0.35,-8.017,-2.643,280.61,33197670.46,70758604.44,31114649.38,280.61,89.582, 1/01331:19:27:48:95526
515678512.2,1331,-33195968.09,-70754969.46,-31113052.19,-0.352,8.013,2.642,280.596,33197670.81,70758596.42,31114646.73,0.35,-8.017,-2.643,280.61,33197670.81,70758596.42,31114646.73,280.61,89.585, 1/01331:19:27:49:92850
515678513.2,1331,-33195968.44,-70754961.45,-31113049.54,-0.352,8.013,2.642,280.596,33197671.16,70758588.41,31114644.09,0.35,-8.017,-2.643,280.61,33197671.16,70758588.41,31114644.09,280.61,89.588, 1/01331:19:27:50:90174
515678514.2,1331,-33195968.79,-70754953.44,-31113046.9,-0.352,8.013,2.642,280.596,33197671.51,70758580.39,31114641.45,0.35,-8.017,-2.643,280.61,33197671.51,70758580.39,31114641.45,280.61,89.591, 1/01331:19:27:51:87499
515678515.2,1331,-33195969.14,-70754945.42,-31113044.26,-0.352,8.013,2.642,280.596,33197671.86,70758572.37,31114638.8,0.35,-8.017,-2.643,280.61,33197671.86,70758572.37,31114638.8,280.61,89.594, 1/01331:19:27:52:84823
515678516.2,1331,-33195969.49,-70754937.41,-31113041.62,-0.352,8.013,2.642,280.596,33197672.21,70758564.35,31114636.16,0.35,-8.017,-2.643,280.61,33197672.21,70758564.35,31114636.16,280.61,89.597, 1/01331:19:27:53:82148
